config,N,K,task,trial,point_idx,tau,val_nrmse,test_nrmse,val_score,test_score
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,0,0.07999999999999999,0.9223064109770235,0.8586268694893285,-0.9223064109770235,-0.8586268694893285
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,1,0.1096069665318704,0.9099873843878782,0.8494963327765915,-0.9099873843878782,-0.8494963327765915
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,2,0.15017108890398193,0.9066750922508234,0.8519121991062969,-0.9066750922508234,-0.8519121991062969
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,3,0.20574746894441603,0.9225759655217528,0.8645955184709125,-0.9225759655217528,-0.8645955184709125
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,4,0.28189194928259564,0.959732220700252,0.8758655681989093,-0.959732220700252,-0.8758655681989093
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,5,0.38621651813276453,1.0055580340140642,0.894613046806628,-1.0055580340140642,-0.894613046806628
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,6,0.529150262212918,1.0442680762065935,0.9027267275213139,-1.0442680762065935,-0.9027267275213139
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,7,0.7249819385087718,1.042556708592443,0.9131203357494866,-1.042556708592443,-0.9131203357494866
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,8,0.9932883883792685,1.0525345704330085,0.9492540934667028,-1.0525345704330085,-0.9492540934667028
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,9,1.3608915892697748,1.0581011739054074,0.9726634213408931,-1.0581011739054074,-0.9726634213408931
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,10,1.864539985982451,1.0415648550745176,0.9852107749216923,-1.0415648550745176,-0.9852107749216923
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,11,2.554582148011408,1.0370818240266524,0.9893623192120148,-1.0370818240266524,-0.9893623192120148
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,12,3.5,1.0287778894164408,0.9927671215948443,-1.0287778894164408,-0.9927671215948443
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,0,0.07999999999999999,1.0310268622863534,0.9868425773057097,-1.0310268622863534,-0.9868425773057097
