config,N,K,task,trial,case_id,window_id,window_start,window_end,safe_width,dashboard_defined,safe_gain,full_gain,positive_safe_gain,safe_dispersion,anchor_spread,local_log_sensitivity
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,0,0,50,2,True,0.0,0.06652290950144701,0,0.07298352305891234,0.18103979601095904,0.574958945196531
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,1,25,75,2,True,0.0,0.047628459020810365,0,0.09786073909628915,0.244858907957581,0.7776401793600289
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,2,50,100,2,True,0.0,0.18692352478231478,0,0.07859546607170637,0.21145561807524732,0.6715556568405827
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,3,75,125,2,True,0.0,0.11161547186051668,0,0.04194457276343252,0.10437411725317676,0.33147867863302755
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,4,100,150,2,True,0.0,0.0636119661628548,0,0.04389707119200612,0.11091424572492052,0.3522492796302578
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,5,125,175,2,True,0.014738787298484768,0.03950949975481055,1,0.048281640111831656,0.1199691964616253,0.3810066304398399
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,6,150,200,2,True,0.0,0.003182711135832239,0,0.037548259984837046,0.09785928924536866,0.3107884286325281
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,7,175,225,2,True,0.0,0.07391529006909692,0,0.031529573453613305,0.09182200361008253,0.29161479135940527
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,8,200,250,2,True,0.010705288667685275,0.010705288667685275,1,0.0411725233112913,0.11457396855870922,0.3638720853701595
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,9,225,275,2,True,0.05525985625296326,0.07648624660223813,1,0.05276540333006632,0.13093690457034304,0.4158386509367591
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,10,250,300,2,True,0.03114131998755909,0.049126019147620326,1,0.056182238706373004,0.13417531753524525,0.4261234310980129
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,11,275,325,2,True,0.07626890598667802,0.10261918824157967,1,0.0616550520097675,0.15598999739112793,0.49540402904443936
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,12,300,350,2,True,0.07928804084444552,0.10349219340516447,1,0.05967603052149593,0.15932863633978195,0.5060071139495614
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,13,325,375,2,True,0.03038504088162175,0.035787388228199046,1,0.04237319440324543,0.11401366173593391,0.3620926234678173
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,14,350,400,2,True,0.021041836838729955,0.03962166024385094,1,0.040914964179137425,0.10712535005627717,0.34021623769636716
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,15,375,425,2,True,0.04169549074466916,0.08674775890664566,1,0.0481028482469976,0.12347845284494526,0.3921515742203538
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,16,400,450,2,True,0.02509378759413572,0.04110106674408687,1,0.043652684261298424,0.11380749801051504,0.3614378741766866
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__trial0,17,425,475,2,True,0.026071002866727366,0.026071002866727366,1,0.049722169850360355,0.1390734410331621,0.4416792369586986
