window_id,safe_gain,safe_dispersion,anchor_spread,local_sensitivity,positive_safe_gain,task,trial,case_id
0,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
1,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
2,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
3,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
4,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
5,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
6,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
7,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
8,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
9,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
10,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
11,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
12,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
13,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
14,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
15,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
16,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
17,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
18,0.0,,,,0,controlled_d20_white_plus_distractor,0,controlled_d20_white_plus_distractor__0
0,0.0,0.0376194543657952,0.09659436610106552,0.30677119654970325,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
1,0.0,0.03911509318727776,0.0978796694180438,0.3108531534214548,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
2,0.0,0.0394880367476609,0.09907242332855207,0.31464118536457164,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
3,0.0019326265871223436,0.03778200189185687,0.09243955441279893,0.2935760527282234,1,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
4,0.007682211900871372,0.03679924827918495,0.08760950269411089,0.27823643402221554,1,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
5,0.0,0.02996487642110483,0.07398763238658297,0.23497513812931647,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
6,0.0,0.029162078037327725,0.07168615288288162,0.22766593729615014,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
7,0.01635118836196936,0.03752412752839434,0.11173406596716191,0.35485292254256673,1,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
8,0.03942845629002434,0.04293045529791338,0.12146898872388372,0.38576977642278015,1,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
9,0.0,0.04023156370887057,0.09641191156799497,0.30619174458283177,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
10,0.0,0.03366737778744107,0.0853188849797614,0.2709617288252921,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
11,0.0,0.03286427611464477,0.08568809171925464,0.27213428161299874,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
12,0.0,0.031979222572718034,0.08299508937786591,0.2635816549544771,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
13,0.0,0.031857138194791496,0.07893094201689622,0.2506744492943197,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
14,0.003082789842709266,0.033139424693347935,0.08200900202364325,0.2604499692282008,1,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
15,0.012867655488939311,0.0322172189362389,0.08789137666230466,0.2791316292389691,1,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
16,0.0,0.033882623649314575,0.0889394320097673,0.2824601172861398,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
17,0.0,0.04329982852304117,0.10640555469724138,0.33793026085863576,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
18,0.0,0.04377930706004516,0.10956996411588947,0.347980015341378,0,controlled_d20_white_plus_distractor,1,controlled_d20_white_plus_distractor__1
0,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
1,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
2,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
3,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
4,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
5,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
6,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
7,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
8,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
9,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
10,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
11,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
12,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
13,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
14,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
15,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
16,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
17,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
18,0.0,,,,0,controlled_d20_white_plus_distractor,2,controlled_d20_white_plus_distractor__2
0,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
1,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
2,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
3,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
4,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
5,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
6,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
7,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
8,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
9,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
10,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
11,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
12,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
13,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
14,0.0,,,,0,controlled_d20_white_plus_distractor,3,controlled_d20_white_plus_distractor__3
