task,trial,path,default_idx,safe_low_idx,safe_high_idx,safe_width,safe_width_fraction,near_contained,exact_contained,matched_near_rate,matched_oracle_rate,safe_gain,full_gain,matched_best_gain,safe_minus_matched_gain,default_test_nrmse,safe_best_test_nrmse,full_best_test_nrmse,support_range,spectral_radius_range
lorenz_x,0,temperature,6,6,8,3,0.23076923076923078,1,1,0.36363636363636365,0.2727272727272727,0.0,0.0,-0.005582907230151571,0.005582907230151571,0.01563046622059489,0.01563046622059489,0.01563046622059489,55.12428668379441,0.2264575694492077
lorenz_x,1,temperature,2,0,12,13,1.0,1,1,1.0,1.0,0.002501282821553359,0.002501282821553359,0.002501282821553359,0.0,0.010533878009688332,0.008032595188134973,0.008032595188134973,55.17522928533734,0.06887479980985933
lorenz_x,2,temperature,12,12,12,1,0.07692307692307693,0,0,0.07692307692307693,0.07692307692307693,0.0,0.03808661087003942,-0.019550031387221847,0.019550031387221847,0.08819086758917141,0.08819086758917141,0.05010425671913199,55.316272586045415,0.12398781033205242
lorenz_x,3,temperature,4,4,5,2,0.15384615384615385,1,1,0.25,0.16666666666666666,0.0,0.0,-0.024706455248043404,0.024706455248043404,0.016394267171499558,0.016394267171499558,0.016394267171499558,55.25391829525145,0.11422535615768359
lorenz_x,4,temperature,2,0,2,3,0.23076923076923078,1,0,0.5454545454545454,0.2727272727272727,0.0,0.0008220104506331399,-0.009827684973732806,0.009827684973732806,0.032545883429710674,0.032545883429710674,0.031723872979077535,55.1224120439061,0.08076575446694123
lorenz_x,5,temperature,2,0,5,6,0.46153846153846156,1,1,1.0,0.625,0.0005504458672195983,0.0005504458672195983,5.9504414233533805e-05,0.0004909414529860645,0.004917465266421352,0.004367019399201754,0.004367019399201754,55.022138480873814,0.07896080714565845
lorenz_x,6,temperature,5,5,5,1,0.07692307692307693,1,1,0.7692307692307693,0.07692307692307693,0.0,0.0,-0.20267531380666018,0.20267531380666018,0.022562802189555493,0.022562802189555493,0.022562802189555493,54.99194555096448,0.11442275164238191
lorenz_x,7,temperature,8,7,10,4,0.3076923076923077,1,1,0.9,0.3,0.0043277862697166485,0.0043277862697166485,-0.002023286251389739,0.006351072521106387,0.024586969483365025,0.020259183213648377,0.020259183213648377,55.25645417498437,0.09201144001455819
mackey_glass,0,temperature,5,5,5,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.06946573545719967,0.06946573545719967,0.11760406054514878,0.11760406054514878,0.11760406054514878,55.29582161068095,0.18152340962017655
mackey_glass,1,temperature,2,0,4,5,0.38461538461538464,1,0,1.0,0.4444444444444444,0.0009189688472913959,0.0031680480168071977,0.002197180124625631,-0.001278211277334235,0.02609915356667764,0.025180184719386243,0.02293110554987044,55.154168017470845,0.05885005538641963
