task,trial,path,default_idx,safe_low_idx,safe_high_idx,safe_width,safe_width_fraction,near_contained,exact_contained,matched_near_rate,matched_oracle_rate,safe_gain,full_gain,matched_best_gain,safe_minus_matched_gain,default_test_nrmse,safe_best_test_nrmse,full_best_test_nrmse,support_range,spectral_radius_range,split_start
appliances,0,temperature,10,9,11,3,0.23076923076923078,0,0,0.36363636363636365,0.18181818181818182,0.022305759529838265,0.11283950491193773,0.06154500425778338,-0.03923924472794511,1.015276656870343,0.9929708973405048,0.9024371519584053,45.674764394964875,0.10628156380225273,0
appliances,0,gain,12,11,12,2,0.15384615384615385,1,1,0.16666666666666666,0.08333333333333333,0.0,0.0,-0.032105479498083976,0.032105479498083976,0.9532093694380078,0.9532093694380078,0.9532093694380078,5.751843445978011e-11,1.538340720323304,0
appliances,0,leak,12,8,12,5,0.38461538461538464,1,1,0.2222222222222222,0.1111111111111111,0.0,0.0,-0.11333381308078803,0.11333381308078803,0.987933070197833,0.987933070197833,0.987933070197833,0.0,0.0,0
appliances,0,sparsity,7,7,7,1,0.07692307692307693,0,0,0.07692307692307693,0.07692307692307693,0.0,0.090758877215532,0.010968479723114979,-0.010968479723114979,0.9792692340057705,0.9792692340057705,0.8885103567902385,47.99999999757879,0.20915274802060768,0
appliances,1,temperature,0,0,3,4,0.3076923076923077,0,0,0.5,0.4,0.0024795863551392294,0.020444473360406445,0.015745494268206428,-0.013265907913067199,0.8947818903035075,0.8923023039483683,0.8743374169431011,45.77436181146158,0.3210481645893851,5076
appliances,1,gain,12,11,12,2,0.15384615384615385,0,0,0.4166666666666667,0.16666666666666666,0.00467055473638589,0.015873819295818214,0.010764832280005373,-0.006094277543619483,0.8902432406999468,0.8855726859635609,0.8743694214041285,5.7475801895634504e-11,1.4979353605532681,5076
appliances,1,leak,12,9,12,4,0.3076923076923077,1,1,0.5,0.1,0.0,0.0,-0.010966414441931027,0.010966414441931027,0.8743694214041285,0.8743694214041285,0.8743694214041285,0.0,0.0,5076
appliances,1,sparsity,0,0,0,1,0.07692307692307693,0,0,0.07692307692307693,0.07692307692307693,0.0,0.02820427127867786,0.014991616040062862,-0.014991616040062862,0.90026761005987,0.90026761005987,0.8720633387811921,47.99999999757879,0.22281614771443836,5076
appliances,2,temperature,2,1,2,2,0.15384615384615385,1,0,0.25,0.08333333333333333,0.0026034951729785316,0.004644135652138837,-0.02849652378926638,0.031100018962244912,0.961843013190159,0.9592395180171804,0.9571988775380201,45.738617469827595,0.17837902365267888,10153
appliances,2,gain,6,4,8,5,0.38461538461538464,0,0,0.1111111111111111,0.1111111111111111,0.015744631507462414,0.04877911990735184,0.022504604237395826,-0.006759972729933412,1.013824036516018,0.9980794050085556,0.9650449166086662,5.779199341304775e-11,1.4529774136881595,10153
appliances,2,leak,2,2,3,2,0.15384615384615385,0,0,0.16666666666666666,0.08333333333333333,0.015370043035003667,0.07477810886728098,0.03390490933945813,-0.018534866304454466,1.088602145383299,1.0732321023482954,1.013824036516018,0.0,0.0,10153
appliances,2,sparsity,2,2,2,1,0.07692307692307693,0,0,0.07692307692307693,0.07692307692307693,0.0,0.05193587017170653,-0.021930056247736328,0.021930056247736328,1.0082404145043302,1.0082404145043302,0.9563045443326237,47.99999999757879,0.10989277035876288,10153
appliances,3,temperature,12,11,12,2,0.15384615384615385,0,0,0.3333333333333333,0.16666666666666666,0.0,0.03133522791129262,0.01598249482423238,-0.01598249482423238,0.9302938468749508,0.9302938468749508,0.8989586189636581,45.574399085493965,0.09323901758826236,15229
appliances,3,gain,12,11,12,2,0.15384615384615385,1,1,0.25,0.08333333333333333,0.0,0.0,-0.016425848925882763,0.016425848925882763,0.9073160838888064,0.9073160838888064,0.9073160838888064,5.880096409782709e-11,1.404660854716084,15229
appliances,3,leak,12,9,12,4,0.3076923076923077,1,1,0.3,0.1,0.0,0.0,-0.035147364665400985,0.035147364665400985,0.9270429818234852,0.9270429818234852,0.9270429818234852,0.0,0.0,15229
appliances,3,sparsity,11,11,11,1,0.07692307692307693,1,1,0.3076923076923077,0.07692307692307693,0.0,0.0,-0.020592550239479864,0.020592550239479864,0.9033874758747911,0.9033874758747911,0.9033874758747911,47.99999999757879,0.1276567124064366,15229
