task,trial,path,default_idx,safe_low_idx,safe_high_idx,safe_width,safe_width_fraction,near_contained,exact_contained,matched_near_rate,matched_oracle_rate,safe_gain,full_gain,matched_best_gain,safe_minus_matched_gain,default_test_nrmse,safe_best_test_nrmse,full_best_test_nrmse,support_range,spectral_radius_range,split_start
air_quality,0,temperature,8,8,9,2,0.15384615384615385,1,1,0.25,0.16666666666666666,0.0,0.0,-0.03454113920545096,0.03454113920545096,0.8039739339865669,0.8039739339865669,0.8039739339865669,45.45250446359811,0.21685082852255422,0
air_quality,0,gain,7,6,10,5,0.38461538461538464,0,0,0.2222222222222222,0.1111111111111111,0.028956037505748045,0.046771362137855155,0.009445496711334841,0.0195105407944132,0.7952527195869539,0.7662966820812058,0.7484813574490987,5.771738642579294e-11,1.6031893141443676,0
air_quality,0,leak,12,10,12,3,0.23076923076923078,1,1,0.2727272727272727,0.09090909090909091,0.0,0.0,-0.05948737209042216,0.05948737209042216,0.803672520534124,0.803672520534124,0.803672520534124,0.0,0.0,0
air_quality,0,sparsity,6,6,6,1,0.07692307692307693,1,1,0.07692307692307693,0.07692307692307693,0.0,0.0,-0.07364541953338448,0.07364541953338448,0.7547220615278202,0.7547220615278202,0.7547220615278202,47.99999999757879,0.09399484319583284,0
air_quality,1,temperature,12,11,12,2,0.15384615384615385,1,1,0.4166666666666667,0.08333333333333333,0.0,0.0,-0.09964785578626778,0.09964785578626778,0.7375303980677158,0.7375303980677158,0.7375303980677158,45.59264042953493,0.11885899312984938,2219
air_quality,1,gain,4,3,5,3,0.23076923076923078,0,0,0.2727272727272727,0.09090909090909091,0.001905845830165065,0.03755912770614278,0.016089688390599585,-0.01418384256043452,0.7602455388562693,0.7583396930261043,0.7226864111501266,5.767475386164733e-11,1.5845201054289861,2219
air_quality,1,leak,12,8,12,5,0.38461538461538464,1,1,0.6666666666666666,0.2222222222222222,0.0017287595587417437,0.0017287595587417437,-0.054362523951768965,0.05609128351051071,0.7547790148237465,0.7530502552650048,0.7530502552650048,0.0,0.0,2219
air_quality,1,sparsity,12,11,12,2,0.15384615384615385,1,0,0.5833333333333334,0.16666666666666666,0.0,0.009272286490200732,-0.01675781835570102,0.01675781835570102,0.7158387416263412,0.7158387416263412,0.7065664551361405,47.99999999757879,0.17422016802936668,2219
air_quality,2,temperature,1,0,2,3,0.23076923076923078,0,0,0.2727272727272727,0.2727272727272727,0.013711412548333302,0.02877093963493449,0.010424051398406147,0.003287361149927155,0.6787807318539836,0.6650693193056503,0.6500097922190491,45.62307017344098,0.07563041814686133,4437
air_quality,2,gain,12,10,12,3,0.23076923076923078,1,0,0.5454545454545454,0.2727272727272727,0.05190541808698235,0.06446012048640626,0.014405823143923115,0.03749959494305923,0.7171693591527927,0.6652639410658103,0.6527092386663864,5.827871518704342e-11,1.5243651749936973,4437
air_quality,2,leak,12,8,12,5,0.38461538461538464,1,1,0.6666666666666666,0.1111111111111111,0.0,0.0,-0.08696686667382576,0.08696686667382576,0.6861841874106953,0.6861841874106953,0.6861841874106953,0.0,0.0,4437
air_quality,2,sparsity,4,4,4,1,0.07692307692307693,1,0,0.15384615384615385,0.07692307692307693,0.0,0.010087482374434242,-0.13904916452371008,0.13904916452371008,0.6132897491709048,0.6132897491709048,0.6032022667964706,47.99999999757879,0.04475362002854466,4437
air_quality,3,temperature,10,9,12,4,0.3076923076923077,0,0,0.5,0.4,0.020542357885212192,0.036595265025513246,0.0010123238615657114,0.019530034023646482,0.7625456415140032,0.742003283628791,0.7259503764884899,45.392876551193105,0.19758971178917795,6656
air_quality,3,gain,7,4,10,7,0.5384615384615384,1,1,1.0,0.8571428571428571,0.0,0.0,-0.0002346395221018982,0.0002346395221018982,0.7244677231087123,0.7244677231087123,0.7244677231087123,5.761080501542892e-11,1.7422024328206396,6656
air_quality,3,leak,12,8,12,5,0.38461538461538464,1,1,0.3333333333333333,0.1111111111111111,0.0,0.0,-0.0670153944651453,0.0670153944651453,0.7261101997634256,0.7261101997634256,0.7261101997634256,0.0,0.0,6656
air_quality,3,sparsity,12,7,12,6,0.46153846153846156,1,1,1.0,0.75,0.0611365989370839,0.0611365989370839,0.05958626563965547,0.00155033329742843,0.8134612556788542,0.7523246567417703,0.7523246567417703,47.99999999757879,0.1327656980046451,6656
